Resource ID,Resource,Previous For groups,Reviewed For groups,Changed,Decision note
res-always-best-care-stgeorge-transportation,"Always Best Care Senior Services St. George errands, transportation, and activity escort",Seniors; Caregivers,Seniors,Yes,Paid caregivers deliver the service; the record does not establish dedicated family-carer support or respite.
res-american-cancer-society-road-to-recovery,American Cancer Society Road To Recovery free cancer-treatment rides,People with serious illness,People with serious illness; Families with children; Children & teens; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-angel-flight-west-medical-flights,Angel Flight West free medical flights and Earth Angels ground transportation,,Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-st-george-bicycle-collective-bike-access,St. George Bicycle Collective refurbished bike and bike-access support,Low-income households,,Yes,"A low-income/free-bike program is only suggested for confirmation, not verified in the current record."
res-cars-that-care-vehicle-repair,Cars That Care Foundation vehicle and repair assistance for single mothers,Children & teens,Children & teens; Families with children; Women,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-crown-care-nemt-st-george,Crown Care NEMT private-pay medical transportation in St. George,,People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-five-county-mobility-management-medical-vouchers,Five County AOG Mobility Management medical transportation vouchers,Seniors; People with disabilities; Low-income households,Seniors; People with disabilities; Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-gold-cross-st-george-nonemergency-medical-transport,Gold Cross Ambulance St. George non-911 and interfacility medical transport,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-huntsman-patient-navigation-transportation,Huntsman Cancer Institute Patient Navigation transportation and lodging help,Children & teens; Young adults; Spanish-speaking people; Native & tribal communities; Caregivers; People with serious illness,Children & teens; Young adults; Spanish-speaking people; Native & tribal communities; Caregivers; People with serious illness; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-miracle-flights-pediatric-medical-flights,Miracle Flights free pediatric distant-medical-care flights,Children & teens; Low-income households,Children & teens; Low-income households; Families with children; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-nurse-next-door-stgeorge-transportation,Nurse Next Door St. George home-care transportation services,Seniors; People with disabilities; Caregivers,Seniors; People with disabilities; Families with children; Children & teens,Yes,Paid caregivers deliver care; dedicated family-caregiver support/respite is not stated.
res-salt-lake-express-st-george-intercity-door-to-door,Salt Lake Express St. George intercity shuttle and door-to-door add-on,,,No,Minor and wheelchair booking rules require confirmation; the record does not establish the accommodation or child conditions.
res-select-health-medicare-nemt,Select Health Medicare non-emergent medical transportation benefit,,People with disabilities; Deaf & hard of hearing,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-southern-utah-hospice-volunteer-transport,Southern Utah Hospice volunteer errands and appointment transportation for enrolled patients,People with serious illness,People with serious illness; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-taxi-usa-wheelchair-nemt,Taxi USA wheelchair van and ambulatory non-emergency medical transportation,,People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-bridge-health-recovery-travel-credit,The Bridge Health Recovery Center admitted-guest travel credit,,People with serious illness,Yes,Clinical chronic-pain program travel support; explicitly not addiction treatment.
res-va-beneficiary-travel-st-george,VA Beneficiary Travel reimbursement and special-mode transportation - St. George VA access,Veterans & military families; People with disabilities; Caregivers,Veterans & military families; People with disabilities; Caregivers; Low-income households; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-council-blind-subsidized-transportation,Utah Council of the Blind Driver/Guide and Subsidized Transportation Program,Blind & low vision; People with disabilities,Blind & low vision; People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-medicaid-health-transportation-payment,Utah Medicaid Health Transportation Payment (HTP) for HCBS waiver medical trips,,People with disabilities; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-mobility-medtrans,Utah Mobility MedTrans non-emergency transportation services,,People with disabilities; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-international-airport-pickup,Utah Tech University Office of International Programs arrival transportation and airport pickup,Students,Students; Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-suntran-partnership,Utah Tech University SunTran Partnership - free local transit with Utah Tech ID,Students,Students,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-special-needs-transportation,Washington County School District Special Needs Transportation,Students,Students; Families with children; Children & teens; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-city-st-george-utilities-payment-amp,"City of St. George Utilities account setup, payment routes, and Average Monthly Payment Program",Spanish-speaking people,Spanish-speaking people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-dixie-power-account-prepaid-budget-rebates,"Dixie Power account support, prepaid service, budget billing, and rebates",,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-enbridge-gas-account-arrangements-shutoff-protections,"Enbridge Gas Utah payment arrangements, medical delay, and shutoff-notice protections",,People with serious illness; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-enbridge-gas-thermwise-rebates,Enbridge Gas Utah ThermWise rebates and energy-efficiency tools,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-human-it-low-cost-internet-devices,"Human-I-T Gold Membership low-cost internet, hotspots, and refurbished devices",Families with children; Low-income households,Families with children; Low-income households; Seniors; People with disabilities; Veterans & military families; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
